name,url,ava,county,decade,sub_appellation,current_owner,planted_by,wineries,historical_producers,raw_text,soil_types,varieties_json,ttb_variety
Beatty Ranch,https://historicvineyardsociety.org/vineyard/beatty-ranch,Napa Valley,Napa County,1910s,Howell Mountain,,,Robert Biale Vineyards,Ridge – Old Howell Mountain bottlings,"“High in Napa Valley’s eastern Vaca Mountain range, the Howell Mountain AVA is defined solely by elevation. First settled in the 1840s by Isaac Howell, winemakers such as Brun and Chaix, and Keyes soon followed. Wines grown in this sub-region drew world-wide attention to Napa Valley in the 1880s for red wines that won top awards in prestigious international competitions. A century later in 1983, Howell Mountain because of its special uniqueness became distinguished as the first sub AVA within the Napa Valley. Starting at an altitude of 1,800 ft. above sea level, the old, head trained Zinfandel vines of Beatty Ranch date back to pre-World War I. The vineyard on Howell Mountain is uniquely positioned just above the Pacific Ocean’s marine layer of morning fog that encroaches along the length of the Napa Valley on a daily basis throughout the growing season. At this lofty, sunny location summer daytime temperatures are cooler, nights are warmer, breezes are steady and the vines’ moderate growing season more gradual. Soils formed on Howell Mountain by volcanic activity are extremely well-drained and the sunlight-soaked vines produce small berries of intense flavors and ripe tannins. Zinfandel thrives and survives here as the conditions for this thinner-skinned variety are ideal. These influences produce concentrated red wines with deep color, chocolatey black fruit, mineral character, fine acidity, and balanced tannins. Howell Mountain red wines have a reputation among collectors for complexity, solid structure, and long life.          ",Volcanic,"{""Zinfandel"": null}",
Bechthold,https://historicvineyardsociety.org/vineyard/bechthold,Lodi,San Joaquin,1880s,,,Joseph Spenker,"Michael David Winery, Birichino, Turley",Turley,"“…the oldest continuously farmed vineyard in the Lodi AVA , consisting of 25 acres of gnarled head trained vines. Originally planted in 1886 by Joseph Spenker, this venerated vineyard is not only alive and well, it is highly productive and lovingly cared for…” – The Lodi Wine Commission          ",,{},
Bedrock,https://historicvineyardsociety.org/vineyard/bedrock,Sonoma Valley,Sonoma,1880s,,,,,"Bedrock, Biale, Carlisle, Ravenswood, Ridge","Spice, vibrant red fruits, hints of orange peel in young wines, vibrancy, bright acidity. “Bedrock Vineyard is one of the most historically and qualitatively gilded plots of land in Sonoma Valley. Taking up 152 acres of the heart of Sonoma Valley, the vineyard occupies a large section of one of the best growing climates for grapes on earth. Founded in 1854 by Generals William ‘Tecumseh’ Sherman and General ‘Fightin’ Joe’ Hooker, Bedrock Vineyard has grown grapes for over 150 years. Following the first epidemic of phylloxera in the mid-1880s, the vineyard was replanted in 1888 by Senator George Hearst—a mining magnate, an early father of California, and the father of publisher William Randolph Hearst. It is from those 135-year-old vines that the Bedrock Heritage Wine is crafted. Hearst’s widow eventually sold the vineyard to the California Wine Association in the early 1900s, and the vineyard produced grapes for the CWA until the passage of the Volstead Act and Prohibition. In 1934 the property was purchased by the sausage-making Parducci Family and was part of the estate vineyards of early Valley of the Moon Winery. In 1953, when relations between the Parducci family and the business partner Domenici family became acrimonious, the vineyard was split. The Parduccis took a smaller parcel of land with the winery, while the Domenicis took 152 acres of what was then known as ‘Madrone Ranch.’ In 2005, our family became the latest curators of this remarkable piece and the ancient vines rooted in its soils.” Under the ownership of the former American Consul to China Eli T. Shepherd, the first vines on rootstock were planted at the vineyard between 1886 and 1888. Unfortunately, this planting was likely on the hybrid Lenoir rootstock which was not completely resistant to phylloxera. Senator George Hearst purchased the property in 1888 and planted most of the vines that still exist today. These vines were among the first to be grown on phylloxera-resistant rootstock in the sta",Rocky,{},
Belloni,https://historicvineyardsociety.org/vineyard/belloni,Russian River Valley,Sonoma,1900s,,,,,Ravenswood Winery,"Belloni Vineyard was planted in the early part of the 20th century. Catabriga, who owned the original vineyard, split it up and passed along each separate parcel (Chelli, Belloni and Rue) to his daughters. Ricardo Belloni, who grew up near Parma, Italy, purchased the vineyard from Eugene and Inez Muzio in 1971. Ricardo passed away in 1997 and his widow Natalia now manages the 7.5-acre vineyard with the assistance of her children and grandchildren. The vineyard is a classic old California field blend comprised of Zinfandel, Petite Sirah, Carignane, Alicante Bouche, and with a little Mataro in the mix. Ravenswood Winery has been producing a vineyard-designated Zinfandel from Belloni since 1991.          ",,"{""Zinfandel"": null, ""Petite Sirah"": null}",
Benito Dusi,https://historicvineyardsociety.org/vineyard/benito-dusi,Paso Robles,San Luis Obispo,1920s,,Dusi Family,,Ridge Vineyards,Dover Canyon,Sylvester and Catarina Dusi purchased this homestead in 1924 when the vines were one year old. Their son Benito was born and lived on the ranch until his passing in 2019 at the age of 86. He was able to keep his vines through Prohibition and again during the 1950s and 1960s when Zinfandel prices were very poor by selling wine made from the grapes and by selling grapes to home winemakers. This Zinfandel selection is preserved as a Heritage Zinfandel Clone.          ,,"{""Zinfandel"": null}",
Besson (Grenache),https://historicvineyardsociety.org/vineyard/besson,Central Coast,Santa Clara,1910s,,Besson Family,,Birichino,,The old block is effectively 100% Grenache with about ten Zinfandel vines and one Muscat.          ,,"{""Grenache"": 100.0, ""Zinfandel"": null}",Grenache
Besson (Zinfandel),https://historicvineyardsociety.org/vineyard/besson-2,Central Coast,Santa Clara,1920s,,Besson Family,,Birichino,,"Purchased by the Besson Family in 1925 and farmed by them ever since. The vineyard is effectively 100% Zinfandel.  There are perhaps 40 colossal Mission vines interplanted among the Zinfandel but those grapes are not used for the Birichino Saint-Georges Zinfandel. As with the Grenache, there are some replacement vines but the vineyard is mostly the original plantation.          ",,"{""Zinfandel"": 100.0, ""Grenache"": null}",Zinfandel
Betty Ann Vineyard,https://historicvineyardsociety.org/vineyard/betty-ann-vineyard,Russian River Valley,Sonoma County,1900s,Santa Rosa Plain,Clark and Bonny Lystra,William Guptil,Marchelle Wines (Greg La Follette),"Korbel Winery (not sure about specific dates, but early- to mid-20th century) and possibly Gallo Wines.","Korbel Winery (not sure about specific dates, but early- to mid-20th century) and possibly Gallo Wines. These vines are reportedly some of the oldest French Colombard vines in Sonoma County. The previous owners spoke of their parents (who live on the property adjacent to Betty Ann Vineyard) talking with an older woman who visited the property in the 1970s who remembered picking grapes in the vineyard just after the 1906 earthquake. The variety is French Colombard or West’s White Prolific – 61 vines that still produce as a non-commercial vineyard. The vines are planted on St. George rootstock with no trellising and are head-trained and dry-farmed.          ",,"{""Colombard"": null}",
Big Break Vineyard,https://historicvineyardsociety.org/vineyard/big-break,Contra Costa,Contra Costa,1910s,,,,Cline,,          ,,{},
Brandlin Estate,https://historicvineyardsociety.org/vineyard/brandlin-estate,Mt. Veeder,Napa County,1920s,,,,,,"In the 1870s, the Brandlin family settled on the steep, rocky slopes of Mount Veeder. Where others saw challenges, they saw the untapped promise of this majestic mountain terroir. Five decades later, Henry Brandlin staked his claim as a Napa Valley winegrowing pioneer when he planted his family’s Brandlin Estate in 1926. Planted as a mosaic of small vineyard blocks to accentuate the site’s diversity, Brandlin Estate includes 12 blocks of Cabernet Sauvignon, featuring five different clones, small blocks of Malbec, Cabernet Franc and Petit Verdot, as well as the coveted old-vine Zinfandel planted by the Brandlin family in 1926. In keeping with our commitment to the environment and our belief in preserving the beauty and vitality of our historic vineyard for generations to come, Brandlin Estate is Napa Green Certified, and the 120 acres of pristine native woodland that surround our vineyard have been preserved in their natural state.          ",Rocky; Benchland,"{""Cabernet Sauvignon"": null, ""Zinfandel"": null}",
Brecon Estate Vineyard,https://historicvineyardsociety.org/vineyard/brecon-estate-vineyard,Paso Robles,,1970s,Adelaida District,"Damian and Amanda Grindley, Brecon Estate",Art Norman,,"Brecon Estate, Norman Vineyards","Property was purchased in 1972 by Art Norman and the first phase of the vineyard was completed by 1973. All that remains of this 1st phase is 13.28 acres of Cabernet Sauvignon. This is the oldest surviving Cabernet Sauvignon planting in Paso Robles. FPS Clone 5 on its own roots planted to 12′ x 6′ spacing on calcareous soils. Rows are planted west to east on gentle south and west facing slopes. The vineyard is cane pruned on a modified California sprawl trellis system.The cuttings were taken from the old Estrella vineyard (Eberle winery). Second phase was completed in 1982. All that remains of this second phase is 2.43 acres of Cabernet Franc. In this case the roots seem to be chardonnay, but they changed their mind and grafted it over to Cabernet Franc almost immediately. Brecon Estate purchased the property in 2012.          ",Limestone; Benchland,"{""Cabernet Sauvignon"": null, ""Chardonnay"": null}",
Brovelli Ranch,https://historicvineyardsociety.org/vineyard/brovelli-ranch,Lodi,San Joaquin,1950s,Jahant,Barbara Brovelli,William Stokes Sr.,,"Bogle, 2001-Present
Bronco Wine Co, 1983-97
Guild Winery, 1970s
Charles Krug, 1970-80s","Bogle, 2001-Present Bronco Wine Co, 1983-97 Guild Winery, 1970s Charles Krug, 1970-80s Own-rooted Lodi Rules Certified Sustainable Bruella sandy loam soil Head Trained          ",Sandy Loam; Loam; Sand,{},
Canard Vineyard/Czapleski Vineyard,https://historicvineyardsociety.org/vineyard/canard-czapleski,Napa Valley,Napa,1880s,Calistoga,Richard and Carolyn Czapleski,Reason P Tucker,"Canard Vineyard
August Briggs",,"Ripe blackberry, cedar, exotic spices, and a hint of toffee. Red cherries on the mid-palate and the finish is a long soft hint of vanilla bean, coriander, and toasted oak. This is one of the last heritage Zinfandel vineyards in Napa Valley. It has always been dry farmed. The vines were planted in the 1880s. County records from the 1860 census states that Reason P. Tucker produced 500 gallons of wine from here.          ",,"{""Zinfandel"": null}",
Carlisle (Pelletti),https://historicvineyardsociety.org/vineyard/carlisle-pelletti,Russian River Valley,Sonoma,1920s,,,,Carlisle,"Novy, DeLoach","“Our own estate vineyard was planted in 1927 by Alcide Pelletti on the eastern bench of the Laguna de Santa Rosa flood plain. Both sides of the Laguna were popular for settlement by Italians immigrants in the early 1900’s. Today, thanks to families like Pelletti, Frati, Marcucci, Pietro’s, Carlo’s, Mancini, Maffei, Montafi, Bacigalupi, Gambogi, Fava, and Saitone, this area represents “ground zero” when it comes to old-vine Russian River Valley zinfandel. As was typical in the early 1900s, Carlisle Vineyard is a field blend consisting of predominantly Zinfandel with a sprinkling of Petite Sirah, Alicante Bouschet, Grand Noir de la Calmette, Tempranillo, Peloursin, and others. In fact, to date, we have identified 43 different varieties. A veritable varietal wonderland!”          ",Alluvial; Benchland,"{""Zinfandel"": null, ""Petite Sirah"": null, ""Alicante Bouschet"": null, ""Tempranillo"": null, ""Peloursin"": null}",
Casa Nuestra,https://historicvineyardsociety.org/vineyard/casa-nuestra,St. Helena,Napa,1970s,,,,"Casa Nuestra, Desire Lines",,"Our predecessor at Casa Nuestra, Captain John Thomas Blackburn, a retired World War II hero, not only gave the name to the property but he also planted the vineyards. Tom kept a journal, in which he meticulously recorded his daily agricultural endeavours. He planted Chenin Blanc in 1961 and Riesling in 1970, both still in production today. When Tom planted his vines, there were few other vineyards in the area. Even Silverado Trail had been a simple gravel road not long before, looking much like our gravel driveway today. The original four-acre vineyard that we purchased from Tom in 1975, grew to 16 acres in the course of the following few years. Our oldest 1.4 acre parcel was planted to Chenin Blanc in 1961. This Roman-style, head-pruned, vineyard grows on the southern portion of Casa Nuestra’s estate. Our western-facing hillside vineyard, named La Jolla del Norte or the Jewel of the North, is situated on the other side of the Silverado Trail. This 5.1 acre vineyard supplies three different clones of Cabernet Sauvignon and seven precious rows (as well as its fence-line) of Riesling. The vineyards on the northern portion of the estate contain 1.7 acres of Cabernet Franc planted in 1997; 2.2 acres of the Tinto field mix planted in 1992; as well as 5.3 acres of Merlot, planted in 1989, and a few rows each of Petite Sirah, Zinfandel, and Refosco. We have been committed to sustainable farming practices to keep the estate’s ecosystem in good health. We stopped using chemical herbicides and pesticides in 1979 and replaced them with organic techniques such as composting and cover crops. All work in the vineyard, from pruning to harvesting, is done by hand. It is very labor intensive but we believe that outstanding wine can only be made from outstanding fruit.          ",Gravel; Benchland,"{""Chenin Blanc"": null, ""Riesling"": null, ""Cabernet Sauvignon"": null, ""Merlot"": null, ""Petite Sirah"": null, ""Zinfandel"": null, ""Refosco"": null}",
Casa Pacini Vineyard,https://historicvineyardsociety.org/vineyard/casa-pacini,Mendocino,Mendocino,1950s,Talmage Bench,Lorenzo Pacini,"Lorenzo Pacini, Jr.",Shannon Ridge Winery,"Graziano Family of wines, Souverain, and Milano",          ,,{},
Casa Santinamaria/Maggies Reserve,https://historicvineyardsociety.org/vineyard/casa-santinamariamaggies-reserve,Sonoma Valley,Sonoma,1900s,,,,"Dawn’s Dream Winery
Galante Family Winery","Rosenblum, Saxon Brown, Bedrock Wine Co.",          ,,{},
Cazas Vineyard,https://historicvineyardsociety.org/vineyard/cazas-vineyard,Temecula Valley,Riverside,1880s,,Roger Honberger and family,Felipe Jesus Cazas,Hart Winery,"Felipe Jesus Cazas, James Freeman 1882-1951","Family records indicate vines were planted in 1882, making this likely the oldest vineyard in Southern California. Originally 22 acres, only 3 acres planted to Mission and Zinfandel still remain. The vineyard is reputed to have been planted from vine cuttings originally planted at Mission San Luis Rey in Oceanside. Unlike many of the Mission plantings in the state which show some genetic variation from their Spanish parent grape Listan Prieto, UC Davis determine that these vines are an exact DNA match.          ",,"{""Zinfandel"": null}",
Cederquist Vineyard,https://historicvineyardsociety.org/vineyard/cederquist-vineyard,California,Fresno County,1890s,,Delbert Cederquist,,"Brockmeyer Family Wines (my paternal grandmother was a Cederquist), Casa Nuestra, Aiken Wines and Chiron are each starting production of a Rosé of Grenache",The grapes were historically and currently sold to a company that re-sells to home winemakers on the East Coast and Canada,"Brockmeyer Family Wines (my paternal grandmother was a Cederquist), Casa Nuestra, Aiken Wines and Chiron are each starting production of a Rosé of Grenache The grapes were historically and currently sold to a company that re-sells to home winemakers on the East Coast and Canada The vineyard is 12 acres total with 1.5 acres Grenache planted in the 1890s (10’ x 8’ spacing)and 10 acres of Grenache planted in the 1940s (10’ x 8’ and 12’ x 8’ spacing). The 1890s planting existed upon purchase in 1904 while the 1940s planting was added by the Cederquist family. The vines are head-trained and were flood irrigated until 2015 when drip irrigation was added. The vineyard is planted on mostly Hesperia Sandy Loam with a little Hanford Sandy Loam and Calhi Loamy Sand.          ",Sandy Loam; Loam; Sand; Rocky,"{""Grenache"": null}",
Chalone Vineyard,https://historicvineyardsociety.org/vineyard/chalone-vineyard,Chalone,Monterey,1910s,,Foley Family Wines,"Lucius Charles Tamm, the original owner, planted the first vines at Chalone Vineyard in 1919",Chalone Vineyard,,"Planted in 1919, it is the oldest known vineyard in Monterey County. The first grapes were planted at the Chalone Vineyard by Frenchman Charles Tamm when his family became homesteaders on the Gavilan Range. The soils of the land – composed of limestone and calcium carbonate under volcanic deposits left by prehistoric eruptions of the Pinnacles volcano – bear a remarkable resemblance to the soils of Burgundy. It is very likely that it was the recognition of these soils by either Charles Tamm or his father Jean-Auguste that attracted them to this site. Chalone is the name of the American Indian tribe that inhabited the Gavilan Range in what is now Monterey County. Chalone Vineyard is one of the oldest Chenin Blanc vineyards in California and one of the few remaining today.          ",Volcanic; Limestone,"{""Chenin Blanc"": null}",
Chen Vineyard,https://historicvineyardsociety.org/vineyard/chen-vineyard,Paso Robles,San Luis Obispo,1970s,Adelaida Hills,,,Lone Madrone,,"On trellis and originally irrigated, it has been now dry farmed for over 20yrs.          ",,{},
Chianti Station (Seghesio),https://historicvineyardsociety.org/vineyard/chianti-station,Alexander Valley,Sonoma,1910s,,Seghesio Family Vineyards,Edoardo and Arthur Seghesio,Seghesio Family Vineyards,,"Located in northern Alexander Valley, where little or no marine influence and plenty of sunshine are ideal conditions for growing Sangiovese. This Sangiovese field blend offers a sweet raspberry fragrance and notes of violets, ripe red cherries, and raspberries. There is an intriguing balance between sweet Sangiovese fruit and this cultivar’s propensity to be tannic enough to scratch your throat (in a good way) coupled with good acidity. The wines age quite well and take on Tuscan qualities with time. A modest three-acre Sangiovese field blend planted in 1910 by great-grandfather Edoardo and grandfather Arthur Seghesio. This is the oldest planting of Sangiovese in the United States. The wine is named after the old “Chianti”  train station on our property where many immigrants disembarked to find a new life. Fewer than 100 cases are produced each year.          ",,"{""Sangiovese"": null}",
Choral’s Vineyard,https://historicvineyardsociety.org/vineyard/chorals-vineyard,Lodi,San Joaquin,1930s,Clements Hills,Jeremy & Choral Trettevik,,Jeremy Wine Co.,"Suess Vineyard – 2012-2022
Cosentino – 1999-2012","The vineyard is located at 16750 HWY 88, Lockeford CA at the site of the Jeremy Wine Co. tasting room and winery. Fruit forward and balanced for old vine Zinfandel. Depending on the pick date the grapes show natural, bright acidity and more fresh fruit than the expected ripe, dried fruit characters of Zinfandel. Choral’s Vineyard is a 15-acre vineyard planted sometime between 1929-1935 on the outer edge of the Lodi appellation. For the first 80 years of its existence it was a dry-farmed vineyard. Vineyard health suffered and a subsurface irrigation system was installed. In 2023 surface drip irrigation was added to better monitor and control vine irrigation and health. Missing vines have been replanted from cuttings from healthy vines in the vineyard. Scattered through the vineyard are a small percentage of ancient white varietals, Mission grapes, and unidentified reds.          ",,"{""Zinfandel"": null}",
Church Block Vineyard,https://historicvineyardsociety.org/vineyard/church-block-vineyard,Lodi,San Joaquin,1930s,Mokelumne River,Gina & Mike Granlees,,Markus Wine Co. is exclusively managing and using the grapes for their old vine blends.,"There are no records of when exactly the vineyard was planted. The block was donated to the Catholic church in the 1960s. Steve Borra purchased this old block from the church in the early 1970s before he opened the first boutique winery in Lodi in 1976. Steve Borra Jr confirmed that when his father purchased the block the vines already looked old and gnarly.
The grapes were used mostly in the Heritage Field blend produced by Borra Vineyards since the early 2000s.","The vineyard is located east of the former Borra Vineyards Tasting Room on 1441 E Armstrong Road. Markus Wine Co. is exclusively managing and using the grapes for their old vine blends. There are no records of when exactly the vineyard was planted. The block was donated to the Catholic church in the 1960s. Steve Borra purchased this old block from the church in the early 1970s before he opened the first boutique winery in Lodi in 1976. Steve Borra Jr confirmed that when his father purchased the block the vines already looked old and gnarly. The grapes were used mostly in the Heritage Field blend produced by Borra Vineyards since the early 2000s. We have experienced bright red fruit character in the Carignan and dark fruit components in the Petite Sirah and Alicante Bouschet. These old vines are producing smaller berries and they hold their acidity perfectly. This 1.5 acre vineyard was planted in the late 1930s on its own rootstock. The vineyard site is mostly sandy loam. It is a field blend of approximately one-third Petite Sirah, one-third Carignan, and one-third Alicante Bouschet. It is a slow ripening vineyard and production is around only 3 tons/acre.          ",Sandy Loam; Loam; Sand,"{""Carignan"": null, ""Petite Sirah"": null, ""Alicante Bouschet"": null}",
Coffaro,https://historicvineyardsociety.org/vineyard/coffaro,Dry Creek Valley,Sonoma,1890s,,,,,"Coffarro, Wine Guerrilla",The vineyard is well over 100 years old and Block 4 is a true field blend.          ,,{},
Cole Ranch,https://historicvineyardsociety.org/vineyard/cole-ranch,Cole Ranch,Mendocino,1970s,,Mike Lucia,John Cole,"Cole Ranch, Desire Lines, Cobb, Lioco",Bedrock,"Situated in a narrow valley in the mountains between Boonville and Ukiah Cole Ranch is a monopole: a single-vineyard AVA. The Riesling vines were planted there in 1973 on St. George rootstock, head-trained and dry-farmed. The soils warm up late in the spring, the valley tends to stay shaded by the sharp mountain ridges above, and temperatures plummet at night as cool air flows downhill into the vineyard. 7 acres of old vine Riesling; 4-7 acres of old vine Cabernet Sauvignon          ",,"{""Riesling"": null, ""Cabernet Sauvignon"": null}",
Compagni-Portis,https://historicvineyardsociety.org/vineyard/compagni-portis,Sonoma Valley,Sonoma,1950s,,Natalie Compagni and Stephen Portis,,Bedrock Wine Co.,"Arnot-Roberts, Carlisle Winery & Vineyards","Compagni Portis is one of the few remaining mixed-white vineyards. Planted in 1954, the vineyard is a field blend of Gewurztraminer, Trousseau Gris, Riesling and several others. It is dry-farmed and organically farmed by Bedrock Wine Co. and crops are typically below 1 ton per acre. Starting with vintage 2010, the vineyard has been under the oversight of Bedrock Wine Co. and significant improvements have been made to remove blackberry and poison oak, put new wires in, increase the number of canes, and take out limbs infested by bot canker and eutypa.          ",Rocky,"{""Trousseau Gris"": null, ""Riesling"": null}",
Cox,https://historicvineyardsociety.org/vineyard/cox,Mendocino,Mendocino,1920s,,,,,,          ,,{},
